Brutto,Proteins list
CH4N2O,P05089|P78540|P00918|P35222|Q15849|Q9BSE5|Q13336|Q5T6X5|Q8N6M5|P10265|Q8WXW8|Q71UV7
C9H12N2O6,P21589|Q96P26|Q9BXI3|Q8TCD5|Q9NPB1|Q9HA47|Q9Y606|O60832|Q9BZX2|Q546Y9|Q9H0P0|P49902|P32320|Q16831|O95045|Q9NWZ5|Q3MIT2|Q9BZE2|Q8N0Z8|Q6NTF7|P31941|Q9UH17|Q9NRW3|Q96AK3|Q8IUX4|Q9GZX7
C5H12O5,nan
C4H7NO3,Q6IB77|Q969I3|Q8WU03
C4H7N3O,nan
C5H10N2O3,O94808|Q06210|Q06203|Q16773|P47897|P08243|P49915|Q08188|P21980|P15104|P00488|Q9UI32|P17812|O43548|O94925|P49221|P22735|O95932|Q96PF1|O15067|O75879|Q15758|Q9UHI5|Q99624|Q6IA69|P27708|Q9NRF8|Q8TF71|Q969I3|A8YXX4|Q9H0R6|O43716
C6H12O6,P52790|P52789|P19367|P14410|Q00796|P50053|P10253|O43451|Q8TET4|Q9NRX4|Q2TB90|Q13613|Q13614|Q9Y217|Q9Y216
C5H11NO2S,Q99707|P42898|P17735|P31153|Q9HBK9|O95050|Q00266|Q9UBK8|Q16773|Q9UJ68|Q93088|P56192|P15104|O43766|Q9NZL9|Q9H2M3|Q8TF71|P50579|Q96RQ9|Q6YP21|Q9Y3D2|Q8IXL7|Q96GW9|Q9NZV6
C9H9NO3,Q6IB77|Q969I3|Q8WU03|Q5SZD4
C6H14O6,P08183
C5H10O6,nan
C6H13N3O3,P00966|Q6TGC4|Q9UM07|Q9ULW8|Q9Y2J8|Q9ULC6|O94760|O95865|P35228|P00480|P29475|P29474|Q5T6L4|B3VK56
C20H32O2,P49327|P39877|Q9BZM2|P47712|P04054|Q9BX93|O15496|Q9UHV8|Q9NZK7|Q9BZM1|O60733|Q05315|P14555|Q9UNK4|P16233|P11150|P54315|Q9NST1|P07098|Q9Y5X9|P19835|P54317|P06858|Q02928|P23141|O00748|P06276|Q9UP65|Q05469|Q9NZ20|Q14032|P14621|P07311|Q03154|P45381|Q96HD9|P09917|O15296|P18054|P35354|P23219|P16050|P78329|Q08477|P08684|P11712|P33261|O00154|P49753|Q8N9L9|O14734|Q13510|Q86Z02|P05181|Q9HBI6|Q9HB55|Q16678|P33260|P24903|Q8N118|P20813|P20815|Q16696|P24462|P13584|Q86W10|P05177|P11511|P10632|Q96SQ9|P98187|P51589|P20853|P11509|P37231|Q9Y2P4|O00519|O75342|Q5K4L6|P41247|Q6PCB7|Q92959|Q6P1M0|Q5TCH4|Q86U10|Q6P1J6|Q96AD5|A0N0X8|Q86XP0|Q3MJ16|Q68DD2|Q9NP80|Q6NT55|P0C869|P0C7U2|Q5QJU3|Q9NR71|Q6GMR7|Q6NWU0|Q6NT32|Q8TDN7|Q8IY17|Q8TDS5|Q17RR3|Q86TX2|Q53FV7|Q6UWW8|Q86WD1|Q6FHZ7|Q9UEF6|Q53EW1|A2RRE8|Q6L9M1|A5PLL0|P53816
C3H5NO4,nan
C5H4N4,P06737|P00491
