HMDB0000904,O95865,DDAH2
HMDB0000904,P35228,NOS2
HMDB0000904,P00480,OTC
HMDB0000904,P29475,NOS1
HMDB0000904,P29474,NOS3
HMDB0000904,Q5T6L4,ASS1
HMDB0000904,B3VK56,NOS1
HMDB0000532,Q6IB77,GLYAT
HMDB0000532,Q969I3,GLYATL1
HMDB0000532,Q8WU03,GLYATL2
HMDB0000207,P49327,FASN
HMDB0000207,Q14032,BAAT
HMDB0000207,O00154,ACOT7
HMDB0000207,P49753,ACOT2
HMDB0000207,Q8N9L9,ACOT4
HMDB0000207,O14734,ACOT8
HMDB0000207,O00519,FAAH
HMDB0000207,Q3SYC2,MOGAT2
HMDB0000207,Q6GMR7,FAAH2
HMDB0000207,Q86TX2,ACOT1
HMDB0000207,Q9NV23,OLAH
HMDB0000182,Q8TEK3,DOT1L
HMDB0000182,Q8WTS6,SETD7
HMDB0000182,Q96L73,NSD1
HMDB0000182,Q15047,SETDB1
HMDB0000182,Q96KQ7,EHMT2
HMDB0000182,Q9H9B1,EHMT1
HMDB0000182,Q02809,PLOD1
HMDB0000182,O00469,PLOD2
HMDB0000182,O60568,PLOD3
HMDB0000182,P43251,BTD
HMDB0000182,Q15046,KARS
HMDB0000182,Q9UDR5,AASS
HMDB0000182,Q13029,PRDM2
HMDB0000182,Q03164,MLL
HMDB0000182,Q8NEZ4,MLL3
HMDB0000182,A4D0W4,AASS
HMDB0000182,A5YM72,CARNS1
HMDB0000182,Q15910,EZH2
HMDB0000182,O14686,MLL2
HMDB0000182,Q9UMN6,WBP7
HMDB0000182,O96028,WHSC1
HMDB0000182,Q9BZ95,WHSC1L1
HMDB0000182,Q9BYW2,SETD2
HMDB0000182,Q9Y2K7,KDM2A
HMDB0000182,Q8NHM5,KDM2B
HMDB0000123,P22557,ALAS2
HMDB0000123,P13196,ALAS1
HMDB0000123,O75600,GCAT
HMDB0000123,Q9P0Z9,PIPOX
HMDB0000123,P14920,DAO
HMDB0000123,P22102,GART
HMDB0000123,Q9BYV1,AGXT2
HMDB0000123,Q14749,GNMT
HMDB0000123,P15144,ANPEP
HMDB0000123,P50440,GATM
HMDB0000123,Q14032,BAAT
HMDB0000123,P41250,GARS
