HMDB0285599 C42H76NO9P
HMDB0049966 C61H110O6
HMDB0263747 C41H69O9P
HMDB0287497 C48H78NO9P
HMDB0046700 C63H110O6
HMDB0000607 C62H90N13O14P.CN.Co
HMDB0263540 C40H69O9P
HMDB0050515 C63H114O6
HMDB0005369 C55H102O6
HMDB0265014 C45H71O9P
HMDB0044306 C57H106O6
HMDB0048407 C53H96O5
HMDB0042707 C57H96O6
HMDB0045715 C57H106O6
HMDB0053036 C63H106O6
HMDB0054123 C63H108O6
HMDB0015420 C10H12ClN3O3S
HMDB0014837 C24H26BrN3O3
HMDB0047816 C51H94O6
HMDB0054490 C67H126O5
HMDB0050715 C67H110O6
HMDB0265753 C45H81O9P
HMDB0045796 C63H114O6
HMDB0061395 C47H82NO10P
HMDB0046809 C63H110O6
HMDB0288111 C51H88NO10P
HMDB0286661 C46H80NO12P
HMDB0268289 C44H81O10P
HMDB0263220 C36H67O9P
HMDB0055131 C69H102O6
HMDB0289412 C46H80NO10P
HMDB0053549 C63H112O5
HMDB0287247 C48H82NO9P
HMDB0267167 C44H77O9P
HMDB0043855 C55H94O6
HMDB0045146 C63H108O6
HMDB0043676 C58H96O6
HMDB0008774 C52H94NO8P
HMDB0264098 C41H67O9P
HMDB0008707 C50H82NO8P
HMDB0009890 C47H81O13P
HMDB0011766 C40H79NO3
HMDB0048571 C53H92O6
HMDB0054437 C63H106O6
HMDB0012457 C27H44O3
HMDB0049129 C55H96O6
HMDB0051995 C69H120O6
HMDB0033274 C33H26O17
HMDB0043556 C60H108O6
HMDB0030882 C14H14O5
HMDB0009589 C45H76NO8P
HMDB0055053 C67H104O6
HMDB0285783 C42H76NO11P
HMDB0009134 C43H74NO8P
HMDB0009023 C39H74NO8P
HMDB0262717 C33H57O10P
HMDB0264012 C41H69O9P
HMDB0263718 C41H71O10P
HMDB0288703 C52H94NO9P
HMDB0242173 C37H70O5
HMDB0050755 C59H108O5
HMDB0044690 C55H98O6
HMDB0286571 C44H78NO9P
HMDB0288008 C50H88NO10P
HMDB0055828 C63H100O6
HMDB0050074 C59H100O6
HMDB0015044 C20H24N2O2
HMDB0053237 C61H94O6
HMDB0049475 C63H110O6
HMDB0286126 C45H82NO9P
HMDB0045565 C65H124O6
HMDB0046206 C67H118O6
HMDB0115386 C43H67O8P
HMDB0000506 C24H40O5
HMDB0011885 C80H146N2O31
HMDB0043249 C54H104O5
HMDB0288571 C52H80NO9P
HMDB0262726 C35H57O9P
HMDB0055486 C65H100O6
HMDB0289362 C48H82NO12P
HMDB0043703 C58H96O6
HMDB0048276 C49H82O6
HMDB0053882 C63H100O6
HMDB0263412 C39H69O10P
HMDB0054051 C61H102O6
HMDB0011388 C45H90NO7P
HMDB0001439 C10H15N4O9P
HMDB0266155 C47H71O9P
HMDB0059655 C5H8O5
HMDB0011275 C44H84NO7P
HMDB0286686 C46H76NO9P
HMDB0263471 C40H71O9P
HMDB0009112 C47H90NO8P
HMDB0046157 C59H102O6
HMDB0048357 C59H94O6
HMDB0001340 C20H28N10O21P4
HMDB0043457 C60H112O6
HMDB0052248 C69H120O6
HMDB0286482 C46H80NO9P
HMDB0265350 C43H67O9P
HMDB0288042 C50H86NO11P
HMDB0051817 C67H118O6
HMDB0054257 C67H102O6
HMDB0008861 C37H70NO8P
HMDB0054767 C71H118O6
HMDB0051452 C59H106O6
HMDB0287944 C52H90NO9P
HMDB0047785 C55H94O6
HMDB0288778 C54H94NO9P
HMDB0052765 C57H90O6
HMDB0009434 C45H72NO8P
HMDB0045636 C61H116O6
HMDB0012355 C38H72NO10P
HMDB0055946 C63H102O5
HMDB0265120 C41H69O9P
HMDB0015616 C36H53N7O6
HMDB0115624 C47H93O8P
HMDB0044227 C59H110O6
HMDB0044712 C58H108O6
HMDB0286903 C46H76NO10P
HMDB0045291 C61H112O6
HMDB0042399 C53H98O6
HMDB0045130 C65H122O6
HMDB0287794 C50H94NO11P
HMDB0004966 C70H130N2O23
HMDB0047863 C57H106O6
HMDB0044531 C59H106O6
HMDB0042963 C52H100O6
HMDB0285609 C42H76NO11P
HMDB0049563 C59H102O6
HMDB0000258 C12H22O11
HMDB0289510 C46H80NO9P
HMDB0267062 C38H71O9P
HMDB0266326 C47H83O9P
HMDB0263752 C41H69O11P
HMDB0008437 C46H76NO8P
HMDB0048265 C55H90O6
HMDB0054524 C63H106O6
HMDB0014685 C9H13N2O2
HMDB0052922 C61H106O6
HMDB0264110 C41H67O9P
HMDB0007333 C39H66O5
HMDB0042815 C57H102O6
HMDB0289007 C50H86NO10P
HMDB0004076 C9H12N2O2
HMDB0265537 C42H77O9P
HMDB0263372 C39H67O9P
HMDB0115184 C43H75O8P
HMDB0042855 C61H106O6
HMDB0054865 C67H106O6
HMDB0288070 C50H90NO9P
HMDB0266720 C39H71O11P
HMDB0285872 C45H78NO9P
HMDB0008158 C50H94NO8P
HMDB0000733 C24H40O4
HMDB0059637 C9H6I2O4
HMDB0000112 C4H9NO2
HMDB0289183 C52H88NO12P
HMDB0115524 C41H71O8P
HMDB0042872 C54H94O6
HMDB0048733 C65H118O6
HMDB0048069 C49H86O6
HMDB0264581 C44H71O10P
HMDB0050937 C61H102O6
HMDB0287617 C48H78NO9P
HMDB0010494 C61H102O6
HMDB0035452 C45H48O25
HMDB0047046 C60H110O6
HMDB0046798 C69H116O6
HMDB0262878 C36H65O12P
HMDB0267063 C40H69O9P
HMDB0045406 C63H106O6
HMDB0007024 C37H66O5
HMDB0007623 C43H80O5
HMDB0048330 C55H90O6
HMDB0264927 C43H71O9P
HMDB0263744 C41H69O9P
HMDB0009402 C47H86NO8P
HMDB0053445 C63H118O5
HMDB0046046 C67H112O6
HMDB0044700 C52H98O6
HMDB0007253 C41H74O5
HMDB0054823 C65H106O6
HMDB0048365 C61H96O6
HMDB0264840 C43H73O9P
HMDB0289102 C50H88NO12P
HMDB0007357 C37H70O5
HMDB0043375 C60H112O6
HMDB0054311 C67H104O6
HMDB0011655 C10H16N4O4
HMDB0289674 C46H82NO10P
HMDB0053858 C63H104O6
HMDB0007550 C45H80O5
HMDB0050921 C61H100O6
HMDB0042673 C59H104O6
HMDB0054890 C69H104O6
HMDB0043224 C56H106O6
HMDB0049648 C63H104O6
HMDB0044212 C63H112O6
HMDB0046458 C55H102O6
HMDB0042269 C63H110O6
HMDB0047363 C73H128O6
HMDB0047850 C59H106O6
HMDB0047384 C65H114O6
HMDB0285892 C44H80NO9P
HMDB0047461 C71H130O6
HMDB0050472 C61H108O6
HMDB0286983 C48H86NO9P
HMDB0006530 C31H50N7O17P3S
HMDB0002061 C14H23NO12
HMDB0007847 C51H98O5
HMDB0043844 C53H98O6
HMDB0289013 C50H86NO10P
HMDB0042557 C53H90O6
HMDB0030584 C25H24O10
HMDB0050137 C63H102O6
HMDB0048047 C57H104O6
HMDB0288312 C50H84NO11P
HMDB0006744 C16H24N4O10P2S
HMDB0001186 C12H28N4O
HMDB0042154 C53H102O6
HMDB0015165 C9H13NO2
HMDB0051207 C63H100O6
HMDB0045426 C65H114O6
HMDB0014681 C46H56N4O10
HMDB0015590 C29H31F2N3O
HMDB0267479 C36H61O9P
HMDB0045598 C65H118O6
HMDB0045159 C57H102O6
HMDB0263108 C35H61O9P
HMDB0044278 C55H100O6
HMDB0265533 C46H79O9P
HMDB0265606 C43H81O9P
HMDB0055483 C61H94O6
HMDB0115243 C41H81O8P
HMDB0264013 C41H69O9P
HMDB0050238 C63H100O6
HMDB0009119 C37H66NO8P
HMDB0061434 C47H82NO10P
HMDB0263721 C41H71O11P
HMDB0286100 C45H82NO9P
HMDB0012111 C14H14O2
HMDB0266344 C47H83O9P
HMDB0288177 C50H84NO9P
HMDB0286810 C48H78NO10P
HMDB0262838 C35H63O11P
HMDB0287721 C48H76NO9P
HMDB0050399 C63H116O6
HMDB0287633 C50H80NO9P
HMDB0047038 C60H112O6
HMDB0048627 C55H94O6
HMDB0042621 C59H104O6
HMDB0265733 C47H79O9P
HMDB0116701 C39H69O8P
HMDB0267314 C35H61O9P
HMDB0008011 C44H84NO8P
HMDB0012447 C46H72NO10P
HMDB0008910 C42H76NO8P
HMDB0007959 C47H94NO8P
HMDB0052082 C65H114O6
HMDB0047198 C57H106O6
HMDB0048438 C54H100O6
HMDB0052198 C65H114O6
HMDB0114895 C45H87O8P
HMDB0053116 C63H100O6
HMDB0006878 C10H19NO2S2
HMDB0265258 C43H69O9P
HMDB0008022 C46H80NO8P
HMDB0042921 C61H102O6
HMDB0050427 C65H116O6
HMDB0115819 C34H67O8P
HMDB0046861 C61H108O6
HMDB0061390 C48H84NO10P
HMDB0051442 C63H118O6
HMDB0046298 C62H110O6
HMDB0007470 C47H86O5
HMDB0054214 C61H98O6
HMDB0265661 C45H79O9P
HMDB0042250 C59H112O6
HMDB0262978 C37H65O11P
HMDB0265779 C45H77O9P
HMDB0000269 C18H39NO2
HMDB0048858 C63H114O6
HMDB0015008 C14H12O3S
HMDB0042831 C59H102O6
HMDB0047807 C57H100O6
HMDB0054496 C63H106O6
HMDB0114926 C39H75O8P
HMDB0045571 C63H118O6
HMDB0050989 C65H112O6
HMDB0050068 C61H106O6
HMDB0048119 C57H102O6
HMDB0056299 C41H66O5
HMDB0042517 C59H110O6
HMDB0288709 C52H94NO9P
HMDB0006983 C50H85N3O15P2
HMDB0264097 C41H67O9P
HMDB0000425 C9H16O9
HMDB0004837 C54H101NO13
HMDB0044101 C59H102O6
HMDB0288740 C52H96NO10P
HMDB0015050 C10H15N5
HMDB0002096 C12H13NO2
HMDB0287574 C48H80NO9P
HMDB0286228 C46H84NO9P
HMDB0045107 C57H102O6
HMDB0265411 C45H67O10P
HMDB0267451 C36H61O10P
HMDB0047544 C69H120O6
HMDB0009262 C45H88NO8P
HMDB0267005 C40H71O9P
HMDB0008197 C40H72NO8P
HMDB0052958 C57H98O6
HMDB0050380 C61H112O6
HMDB0049639 C61H104O6
HMDB0008970 C41H72NO8P
HMDB0044440 C61H102O6
HMDB0053123 C63H96O6
HMDB0053430 C65H106O6
HMDB0053679 C61H108O6
HMDB0006271 C27H44O
HMDB0038469 C26H28O15
HMDB0014488 C19H21N
HMDB0115853 C40H79O8P
HMDB0114790 C39H69O8P
HMDB0047779 C51H90O6
HMDB0045257 C63H106O6
HMDB0045091 C61H106O6
HMDB0043820 C58H110O5
HMDB0287195 C46H86NO10P
HMDB0051823 C65H112O6
HMDB0288242 C50H82NO9P
HMDB0046462 C61H114O6
HMDB0268193 C41H75O9P
HMDB0046080 C59H106O6
HMDB0048704 C63H116O6
HMDB0051563 C61H110O6
HMDB0050103 C63H110O6
HMDB0267234 C48H87O9P
HMDB0055354 C59H100O5
HMDB0053684 C59H100O6
HMDB0288486 C50H80NO9P
HMDB0008973 C43H84NO8P
HMDB0288334 C48H80NO9P
HMDB0287649 C48H82NO11P
HMDB0265867 C45H73O9P
HMDB0268257 C44H79O9P
HMDB0009673 C51H92NO8P
HMDB0264939 C43H71O9P
HMDB0042989 C48H92O6
HMDB0054560 C65H116O5
HMDB0050213 C63H102O6
HMDB0286248 C46H84NO11P
HMDB0051901 C65H124O5
HMDB0265920 C43H73O9P
HMDB0050514 C61H108O6
HMDB0003406 C3H7NO3
HMDB0011927 C67H124N2O21
HMDB0046174 C63H104O6
HMDB0012259 CH5AsO2
HMDB0050174 C57H96O6
HMDB0289205 C52H92NO12P
HMDB0265809 C43H75O9P
HMDB0046871 C65H114O6
HMDB0006768 C19H24O3
HMDB0056111 C51H100O5
HMDB0045380 C63H110O6
HMDB0045584 C57H108O6
HMDB0286749 C46H78NO9P
HMDB0043738 C58H94O6
HMDB0009149 C41H74NO7P
HMDB0288057 C52H88NO9P
HMDB0268106 C44H75O10P
HMDB0265295 C41H69O9P
HMDB0054427 C61H102O6
HMDB0049722 C56H104O6
HMDB0262872 C36H63O9P
HMDB0048083 C57H96O6
HMDB0286688 C46H76NO9P
HMDB0050825 C63H104O6
HMDB0009363 C45H80NO8P
HMDB0268176 C46H82NO11PS
HMDB0007098 C35H68O5
HMDB0267705 C40H67O9P
HMDB0050848 C67H106O6
HMDB0012048 C96H166N4O42
HMDB0047390 C59H106O6
HMDB0265260 C43H69O9P
HMDB0266866 C36H61O11P
HMDB0009380 C43H78NO7P
HMDB0054830 C69H108O6
HMDB0055754 C65H102O6
HMDB0043764 C62H100O6
HMDB0050136 C63H104O6
HMDB0285600 C42H76NO9P
HMDB0054775 C65H106O6
HMDB0008692 C46H82NO8P
HMDB0011593 C50H95NO13
HMDB0059633 C18H36O4
HMDB0053588 C59H104O5
