HMDB0000023,O00204|Q08426|Q16836|P31937|P22309|Q6NVY1
HMDB0000050,P21589|Q96P26|Q9BXI3|Q8TCD5|P27707|Q9NPB1|P55263|Q96HN2|P23526|O43865|P00813|P30542|P29274|P33765|P29275|Q9H0P0|Q8TB61|P49902|P00491|Q9H1N7|Q9NZK5
HMDB0000056,P80404|P49189|P30838|P49419|P47895|P05091|P51648|P30837|Q96KN2|P22309|P48448|P43353|Q9UBR1|Q05329|Q99259|P31641|Q8TF71|A5YM72
HMDB0000062,P43155|P47989|P05164|Q9UKG9|Q92523|P50416|P23786|Q8TCG5|O75936|Q9Y6L6|P23141|O76082|Q9H015|O43772|Q86VW1|Q8N8R3
HMDB0000067,P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2|P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2
HMDB0000070,Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9|Q9P0Z9
HMDB0000072,Q99798|P21399
HMDB0000073,P14679|P27338|P21397|P09172|P21964|P20711|P19801|Q16853|O75106|P11712|P33261|P10635|P05177|O76082|P14416|P21917|Q01959|O15245|O15244|O75751|Q9NYX4|Q9ULU8|Q86UW7|P35462|P21728
HMDB0000092,Q9UI17|P22309|Q93088|Q9H2M3
HMDB0000094,P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086|P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086
